Date,Open,High,Low,Close,Adj Close,Volume
2017-03-21,4.785710,4.885710,4.778570,4.878570,4.878570,128367
2017-03-22,4.907140,4.914290,4.821430,4.864290,4.864290,62527
2017-03-23,4.821430,4.907140,4.785710,4.892860,4.892860,67693
2017-03-27,4.892860,4.928570,4.714290,4.857140,4.857140,90777
2017-03-28,4.928570,4.928570,4.785710,4.857140,4.857140,101251
2017-03-29,4.892860,4.892860,4.785710,4.857140,4.857140,86253
2017-03-30,4.878570,5.035710,4.857140,4.921430,4.921430,207278
2017-03-31,4.928570,4.928570,4.814290,4.814290,4.814290,91090
2017-04-03,4.814290,5.142860,4.814290,5.142860,5.142860,349212
2017-04-04,5.228570,5.292860,5.178570,5.242860,5.242860,315510
2017-04-05,5.250000,5.285710,5.178570,5.185710,5.185710,178150
2017-04-06,5.228570,5.607140,5.228570,5.507140,5.507140,776259
2017-04-07,5.607140,5.714290,5.607140,5.678570,5.678570,614496
2017-04-10,5.892860,6.071430,5.857140,6.000000,6.000000,860003
2017-04-11,6.135710,6.321430,6.135710,6.321430,6.321430,730068
2017-04-12,6.357140,6.750000,6.357140,6.742860,6.742860,749510
2017-04-17,6.742860,7.178570,6.428570,6.542860,6.542860,728518
2017-04-18,6.428570,6.428570,6.178570,6.228570,6.228570,428973
2017-04-19,6.071430,6.571430,6.071430,6.178570,6.178570,159932
2017-04-20,6.214290,6.214290,5.964290,5.992860,5.992860,471019
2017-04-21,5.957140,6.392860,5.892860,6.392860,6.392860,374520
2017-04-24,6.421430,6.607140,6.142860,6.442860,6.442860,406760
2017-04-25,6.428570,6.442860,6.285710,6.321430,6.321430,178160
2017-04-26,6.321430,6.500000,6.321430,6.392860,6.392860,124368
2017-04-27,6.464290,6.535710,6.300000,6.428570,6.428570,192325
2017-04-28,6.578570,6.714290,6.571430,6.714290,6.714290,297097
2017-05-02,6.714290,7.071430,6.714290,7.035710,7.035710,422876
2017-05-03,7.107140,7.714290,7.107140,7.714290,7.714290,841106
2017-05-04,7.857140,8.178570,7.178570,8.035710,8.035710,1014084
2017-05-05,8.035710,8.142860,7.428570,7.535710,7.535710,662823
2017-05-08,7.428570,7.428570,7.214290,7.321430,7.321430,406116
2017-05-09,7.285710,7.678570,7.214290,7.678570,7.678570,304254
2017-05-10,7.857140,8.071430,7.714290,7.785710,7.785710,395305
2017-05-11,7.857140,7.964290,7.500000,7.571430,7.571430,207458
2017-05-12,7.571430,7.571430,7.321430,7.428570,7.428570,190704
2017-05-15,7.428570,7.500000,7.392860,7.428570,7.428570,127718
2017-05-16,7.428570,7.428570,7.142860,7.285710,7.285710,264498
2017-05-17,7.285710,7.678570,7.142860,7.678570,7.678570,310276
2017-05-18,7.428570,7.642860,7.142860,7.464290,7.464290,239840
2017-05-19,7.500000,7.642860,7.428570,7.464290,7.464290,166386
2017-05-22,7.642860,7.642860,7.392860,7.500000,7.500000,81052
2017-05-23,7.500000,7.571430,7.214290,7.500000,7.500000,139329
2017-05-24,7.428570,7.571430,7.285710,7.464290,7.464290,219346
2017-05-26,7.464290,7.571430,7.285710,7.428570,7.428570,243551
2017-05-29,7.500000,7.642860,7.428570,7.500000,7.500000,273400
2017-05-30,7.642860,8.214290,7.535710,8.000000,8.000000,704717
2017-05-31,8.107140,8.250000,7.857140,7.964290,7.964290,666847
2017-06-01,8.107140,8.142860,7.964290,8.035710,8.035710,396396
2017-06-02,8.142860,8.785710,8.142860,8.642860,8.642860,1257924
2017-06-05,8.892860,9.285710,8.821430,8.964290,8.964290,1225601
2017-06-06,9.000000,9.142860,8.535710,8.928570,8.928570,568201
